name,decription,director,actors,year,rating
Pirates of the Caribbean: Dead Man's ChestÂ ,box office hit|giant squid|heart|liar's dice|monster,Gore Verbinski,"Orlando Bloom,Johnny Depp,Jack Davenport",2006,7.3
The Lone RangerÂ ,horse|outlaw|texas|texas ranger|train,Gore Verbinski,"Ruth Wilson,Johnny Depp,Tom Wilkinson",2013,6.5
Man of SteelÂ ,based on comic book|british actor playing american character|final battle|origin of hero|reboot,Zack Snyder,"Christopher Meloni,Henry Cavill,Harry Lennix",2013,7.2
The Chronicles of Narnia: Prince CaspianÂ ,brother brother relationship|brother sister relationship|good versus evil|king|narnia,Andrew Adamson,"Pierfrancesco Favino,Peter Dinklage,DamiÃ¡n AlcÃ¡zar",2008,6.6
The AvengersÂ ,alien invasion|assassin|battle|iron man|soldier,Joss Whedon,"Robert Downey Jr.,Chris Hemsworth,Scarlett Johansson",2012,8.1
Pirates of the Caribbean: On Stranger TidesÂ ,blackbeard|captain|pirate|revenge|soldier,Rob Marshall,"Sam Claflin,Johnny Depp,Stephen Graham",2011,6.7
Men in Black 3Â ,alien|criminal|m.i.b.|maximum security prison|prison,Barry Sonnenfeld,"Michael Stuhlbarg,Will Smith,Nicole Scherzinger",2012,6.8
The Hobbit: The Battle of the Five ArmiesÂ ,army|elf|hobbit|middle earth|orc,Peter Jackson,"Adam Brown,Aidan Turner,James Nesbitt",2014,7.5
The Amazing Spider-ManÂ ,lizard|outcast|spider|spider man|teenager,Marc Webb,"Andrew Garfield,Emma Stone,Chris Zylka",2012,7
Robin HoodÂ ,1190s|archer|england|king of england|robin hood,Ridley Scott,"William Hurt,Mark Addy,Scott Grimes",2010,6.7
The Hobbit: The Desolation of SmaugÂ ,dwarf|elf|lake town|mountain|sword and sorcery,Peter Jackson,"Adam Brown,Aidan Turner,James Nesbitt",2013,7.9
The Golden CompassÂ ,children|epic|friend|girl|quest,Chris Weitz,"Eva Green,Christopher Lee,Kristin Scott Thomas",2007,6.1
King KongÂ ,animal name in title|ape abducts a woman|gorilla|island|king kong,Peter Jackson,"Thomas Kretschmann,Naomi Watts,Evan Parke",2005,7.2
TitanicÂ ,artist|love|ship|titanic|wet,James Cameron,"Kate Winslet,Leonardo DiCaprio,Gloria Stuart",1997,7.7
Captain America: Civil WarÂ ,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Anthony Russo,"Scarlett Johansson,Robert Downey Jr.,Chris Evans",2016,8.2
BattleshipÂ ,box office flop|hawaii|naval|oahu hawaii|ship,Peter Berg,"Alexander SkarsgÃ¥rd,Liam Neeson,Tadanobu Asano",2012,5.9
Jurassic WorldÂ ,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Colin Trevorrow,"Judy Greer,Bryce Dallas Howard,Omar Sy",2015,7
SkyfallÂ ,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,Sam Mendes,"Helen McCrory,Albert Finney,Rory Kinnear",2012,7.8
Spider-Man 2Â ,death|doctor|scientist|super villain|tentacle,Sam Raimi,"James Franco,J.K. Simmons,Kirsten Dunst",2004,7.3
Iron Man 3Â ,armor|explosion|human bomb|missile attack|terrorist,Shane Black,"Jon Favreau,Robert Downey Jr.,Don Cheadle",2013,7.2
Alice in WonderlandÂ ,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,Tim Burton,"Alan Rickman,Johnny Depp,Anne Hathaway",2010,6.5
X-Men: The Last StandÂ ,battle|mutant|outrage|walking through a wall|x men,Brett Ratner,"Kelsey Grammer,Hugh Jackman,Daniel Cudmore",2006,6.8
Monsters UniversityÂ ,cheating|fraternity|monster|singing in a car|university,Dan Scanlon,"Tyler Labine,Steve Buscemi,Sean Hayes",2013,7.3
Transformers: Revenge of the FallenÂ ,autobot|decepticon|machine|sun|symbol,Michael Bay,"Kevin Dunn,Glenn Morshower,Ramon Rodriguez",2009,6
Transformers: Age of ExtinctionÂ ,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Michael Bay,"Sophia Myles,Bingbing Li,Kelsey Grammer",2014,5.7
Oz the Great and PowerfulÂ ,circus|magic|magician|oz|witch,Sam Raimi,"Mila Kunis,Tim Holmes,James Franco",2013,6.4
The Amazing Spider-Man 2Â ,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,Marc Webb,"Andrew Garfield,Emma Stone,B.J. Novak",2014,6.7
TRON: LegacyÂ ,arcade|bridge|disappearance|escape|warrior,Joseph Kosinski,"Olivia Wilde,Jeff Bridges,James Frain",2010,6.8
Cars 2Â ,best friend|car race|conspiracy|gadget car|spy,John Lasseter,"Thomas Kretschmann,Joe Mantegna,Eddie Izzard",2011,6.3
Green LanternÂ ,autopsy|lantern|planet|ring|test pilot,Martin Campbell,"Temuera Morrison,Ryan Reynolds,Taika Waititi",2011,5.6
Toy Story 3Â ,college|day care|escape|teddy bear|toy,Lee Unkrich,"John Ratzenberger,Tom Hanks,Don Rickles",2010,8.3
Terminator SalvationÂ ,death row|future|machine|rescue|skynet,McG,"Bryce Dallas Howard,Christian Bale,Common",2009,6.6
Furious 7Â ,car falling off a cliff|hospital|revenge|star died before release|terrorist,James Wan,"Paul Walker,Jason Statham,Vin Diesel",2015,7.2
World War ZÂ ,chaos|disease|infection|pandemic|zombie,Marc Forster,"Brad Pitt,Peter Capaldi,Mireille Enos",2013,7
X-Men: Days of Future PastÂ ,dystopia|super strength|supernatural power|time paradox|time travel,Bryan Singer,"Peter Dinklage,Jennifer Lawrence,Hugh Jackman",2014,8
Star Trek Into DarknessÂ ,admiral|captain|manhunt|mission|space,J.J. Abrams,"Bruce Greenwood,Benedict Cumberbatch,Noel Clarke",2013,7.8
Jack the Giant SlayerÂ ,bean|giant|king|no opening credits|princess,Bryan Singer,"Ewen Bremner,Eddie Marsan,Ralph Brown",2013,6.3
The Great GatsbyÂ ,ingratitude|mansion|party|title appears in writing|tragedy,Baz Luhrmann,"Elizabeth Debicki,Leonardo DiCaprio,Steve Bisley",2013,7.3
Prince of Persia: The Sands of TimeÂ ,alamut|dagger|king|persia|princess,Mike Newell,"Richard Coyle,Jake Gyllenhaal,Reece Ritchie",2010,6.6
Pacific RimÂ ,giant monster|kaiju|pilot|portal|robot,Guillermo del Toro,"Clifton Collins Jr.,Charlie Hunnam,Larry Joe Campbell",2013,7
Transformers: Dark of the MoonÂ ,autobot|decepticon|job interview|moon|spacecraft,Michael Bay,"Lester Speight,Glenn Morshower,Kevin Dunn",2011,6.3
Indiana Jones and the Kingdom of the Crystal SkullÂ ,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,Steven Spielberg,"Ray Winstone,Harrison Ford,Jim Broadbent",2008,6.2
The Good DinosaurÂ ,apatosaurus|asteroid|dinosaur|fear|river,Peter Sohn,"Jack McGraw,A.J. Buckley,Peter Sohn",2015,6.8
BraveÂ ,archery|coming of age|female warrior|princess|rebellious daughter,Mark Andrews,"John Ratzenberger,Kelly Macdonald,Julie Walters",2012,7.2
Star Trek BeyondÂ ,hatred|sequel|space opera|star trek|third part,Justin Lin,"Melissa Roxburgh,Sofia Boutella,Lydia Wilson",2016,7.5
WALLÂ·EÂ ,earth|obesity|plant|robot|soil,Andrew Stanton,"Fred Willard,John Ratzenberger,Jeff Garlin",2008,8.4
Rush Hour 3Â ,ambassador|assassination|chinese|french|triad,Brett Ratner,"Dana Ivey,Tzi Ma,NoÃ©mie Lenoir",2007,6.2
2012Â ,ark|catastrophe|geologist|president|writer,Roland Emmerich,"Liam James,Oliver Platt,Tom McCarthy",2009,5.8
A Christmas CarolÂ ,charles dickens|christmas|christmas eve|ghost|scrooge,Robert Zemeckis,"Colin Firth,Robin Wright,Gary Oldman",2009,6.8
Jupiter AscendingÂ ,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,Lana Wachowski,"Mila Kunis,Channing Tatum,Eddie Redmayne",2015,5.4
The Legend of TarzanÂ ,africa|capture|jungle|male objectification|tarzan,David Yates,"Alexander SkarsgÃ¥rd,Christoph Waltz,Casper Crump",2016,6.6
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",hide and seek|lion|magic|professor|snow,Andrew Adamson,"Kiran Shah,Jim Broadbent,Shane Rangi",2005,6.9
X-Men: ApocalypseÂ ,mutant|superhero|superhero team|x men|year 1983,Bryan Singer,"Michael Fassbender,Jennifer Lawrence,Tye Sheridan",2016,7.3
The Dark KnightÂ ,based on comic book|dc comics|psychopath|star died before release|urban setting,Christopher Nolan,"Heath Ledger,Christian Bale,Morgan Freeman",2008,9
UpÂ ,balloon|house|promise|retirement|skeleton,Pete Docter,"Delroy Lindo,John Ratzenberger,Jess Harnell",2009,8.3
Monsters vs. AliensÂ ,alien|alien invasion|alien space craft|giant|giantess,Rob Letterman,"Rainn Wilson,Amy Poehler,Stephen Colbert",2009,6.5
Iron ManÂ ,afghanistan|billionaire|inventor|playboy|u.s. air force,Jon Favreau,"Jeff Bridges,Robert Downey Jr.,Jon Favreau",2008,7.9
HugoÂ ,automaton|mechanical|railway station|steampunk|train,Martin Scorsese,"Christopher Lee,ChloÃ« Grace Moretz,Ray Winstone",2011,7.5
Wild Wild WestÂ ,buddy movie|general|inventor|steampunk|utah,Barry Sonnenfeld,"Salma Hayek,Will Smith,Bai Ling",1999,4.8
The Mummy: Tomb of the Dragon EmperorÂ ,army|china|emperor|mummy|shangri la,Rob Cohen,"Brendan Fraser,Jet Li,Russell Wong",2008,5.2
Suicide SquadÂ ,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,David Ayer,"Robin Atkin Downes,Will Smith,Ike Barinholtz",2016,6.9
Evan AlmightyÂ ,ark|change|congressman|depiction of god|flood,Tom Shadyac,"Morgan Freeman,Jimmy Bennett,Steve Carell",2007,5.4
Edge of TomorrowÂ ,alien|combat|dying repeatedly|end of the world|time loop,Doug Liman,"Lara Pulver,Tom Cruise,Noah Taylor",2014,7.9
WaterworldÂ ,future|sail|sea|smoker|water,Kevin Reynolds,"Rick Aviles,Jeanne Tripplehorn,Zakes Mokae",1995,6.1
G.I. Joe: The Rise of CobraÂ ,cobra|gi joe|snake|train|warhead,Stephen Sommers,"Dennis Quaid,Joseph Gordon-Levitt,Leo Howard",2009,5.8
Inside OutÂ ,anger|joy|memory|running away|sadness,Pete Docter,"Mindy Kaling,Amy Poehler,Phyllis Smith",2015,8.3
The Jungle BookÂ ,fire|jungle|remake|tiger|wolf,Jon Favreau,"Bill Murray,Scarlett Johansson,Garry Shandling",2016,7.8
Iron Man 2Â ,hammer|military|monaco|revenge|tony stark,Jon Favreau,"Scarlett Johansson,Robert Downey Jr.,Jon Favreau",2010,7
Snow White and the HuntsmanÂ ,evil queen|fairy tale|magic|queen|snow white,Rupert Sanders,"Kristen Stewart,Chris Hemsworth,Sam Claflin",2012,6.1
MaleficentÂ ,curse|dark fantasy|fairy|king|kingdom,Robert Stromberg,"Sharlto Copley,Angelina Jolie Pitt,Sam Riley",2014,7
Dawn of the Planet of the ApesÂ ,ape|dam|leader|post apocalypse|sequel,Matt Reeves,"Judy Greer,Gary Oldman,Kodi Smit-McPhee",2014,7.6
The LoversÂ ,1770s|british india|great barrier reef|india|ring,Roland JoffÃ©,"Alice Englert,Tamsin Egerton,Bipasha Basu",2015,4.5
47 RoninÂ ,box office flop|ronin|samurai|shogun|tournament,Carl Rinsch,"Cary-Hiroyuki Tagawa,Keanu Reeves,Jin Akanishi",2013,6.3
Captain America: The Winter SoldierÂ ,conspiracy|heroism|megalomaniac|super soldier|world domination,Anthony Russo,"Chris Evans,Scarlett Johansson,Hayley Atwell",2014,7.8
Shrek Forever AfterÂ ,alternate world|fairy tale parody|female warrior|ogre|true love,Mike Mitchell,"Kathy Griffin,Jon Hamm,Mary Kay Place",2010,6.4
TomorrowlandÂ ,boy genius|futuristic city|inventor|teenage girl|time travel,Brad Bird,"Chris Bauer,Judy Greer,Thomas Robinson",2015,6.5
Big Hero 6Â ,high tech|martial arts|masked man|robot|superhero,Don Hall,"Daniel Henney,Damon Wayans Jr.,Abraham Benrubi",2014,7.9
Wreck-It RalphÂ ,arcade|candy|glitch|king|medal,Rich Moore,"Sarah Silverman,Jack McBrayer,Joe Lo Truglio",2012,7.8
The Polar ExpressÂ ,boy|christmas|christmas eve|north pole|train,Robert Zemeckis,"Eddie Deezen,Tom Hanks,Peter Scolari",2004,6.6
Independence Day: ResurgenceÂ ,alien|battle|defense|independence day|mothership,Roland Emmerich,"Sela Ward,Vivica A. Fox,Judd Hirsch",2016,5.5
How to Train Your DragonÂ ,dragon|island|training|viking|village,Dean DeBlois,"America Ferrera,Gerard Butler,Craig Ferguson",2010,8.2
Terminator 3: Rise of the MachinesÂ ,drifter|exploding truck|future|machine|skynet,Jonathan Mostow,"M.C. Gainey,Nick Stahl,Carolyn Hennesy",2003,6.4
Guardians of the GalaxyÂ ,bounty hunter|outer space|raccoon|talking animal|tree,James Gunn,"Vin Diesel,Bradley Cooper,Djimon Hounsou",2014,8.1
InterstellarÂ ,black hole|father daughter relationship|saving the world|space travel|wormhole,Christopher Nolan,"Anne Hathaway,Matthew McConaughey,Mackenzie Foy",2014,8.6
InceptionÂ ,ambiguous ending|corporate espionage|dream|subconscious|thief,Christopher Nolan,"Tom Hardy,Leonardo DiCaprio,Joseph Gordon-Levitt",2010,8.8
Godzilla ResurgenceÂ ,blood|godzilla|monster|sequel,Hideaki Anno,"Shin'ya Tsukamoto,Mark Chinnery,Atsuko Maeda",2016,8.2
The Hobbit: An Unexpected JourneyÂ ,dragon|dwarf|hobbit|orc|wizard,Peter Jackson,"Adam Brown,Aidan Turner,James Nesbitt",2012,7.9
The Fast and the FuriousÂ ,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,"Vin Diesel,Paul Walker,Jordana Brewster",2001,6.7
The Curious Case of Benjamin ButtonÂ ,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,David Fincher,"Jason Flemyng,Brad Pitt,Julia Ormond",2008,7.8
X-Men: First ClassÂ ,cia|cia agent|mutant|nuclear war|professor,Matthew Vaughn,"Michael Fassbender,Jennifer Lawrence,Oliver Platt",2011,7.8
The Hunger Games: Mockingjay - Part 2Â ,death of sister|dystopia|execution|rebellion|revolution,Francis Lawrence,"Philip Seymour Hoffman,Jennifer Lawrence,Josh Hutcherson",2015,6.6
The Sorcerer's ApprenticeÂ ,chosen one|enchanted object|love|spell|training,Jon Turteltaub,"Omar Benson Miller,Nicolas Cage,Robert Capron",2010,6.1
PoseidonÂ ,cruise|escape|ocean|passenger|water,Wolfgang Petersen,"Mike Vogel,Jimmy Bennett,Andre Braugher",2006,5.6
Alice Through the Looking GlassÂ ,clock|dark fantasy|mad hatter|queen|sequel,James Bobin,"Alan Rickman,Johnny Depp,Anne Hathaway",2016,6.4
Shrek the ThirdÂ ,disney spoof|fairy tale|prince|princess|tough guy,Chris Miller,"Eric Idle,Justin Timberlake,Rupert Everett",2007,6.1
WarcraftÂ ,based on video game|fictional language|fictional war|orc|sword and sorcery,Duncan Jones,"Callum Rennie,Dominic Cooper,Ruth Negga",2016,7.3
Terminator GenisysÂ ,alternate timeline|cyborg|future|robot|time machine,Alan Taylor,"Emilia Clarke,J.K. Simmons,Matt Smith",2015,6.6
The Chronicles of Narnia: The Voyage of the Dawn TreaderÂ ,dragon|king|mouse|quest|warrior,Michael Apted,"Shane Rangi,Bruce Spence,Laura Brent",2010,6.3
Pearl HarborÂ ,air raid|black smoke|japanese military|japanese navy|sunday,Michael Bay,"Jaime King,Jennifer Garner,Mako",2001,6.1
TransformersÂ ,alien contact|autobot|decepticon|robot vs. robot|teenage hero,Michael Bay,"Michael O'Neill,Zack Ward,Kevin Dunn",2007,7.1
AlexanderÂ ,ancient greece|conquest|greek|greek myth|king,Oliver Stone,"Angelina Jolie Pitt,Anthony Hopkins,Brian Blessed",2004,5.5
Harry Potter and the Order of the PhoenixÂ ,battle|magic|school|teacher|wizard,David Yates,"Daniel Radcliffe,Robert Pattinson,Fiona Shaw",2007,7.5
Harry Potter and the Goblet of FireÂ ,fire|goblet|magic|tournament|wizard,Mike Newell,"Daniel Radcliffe,Robert Pattinson,Rupert Grint",2005,7.6
HancockÂ ,bully comeuppance|destruction|prison|superhero|tough girl,Peter Berg,"Charlize Theron,Will Smith,Eddie Marsan",2008,6.4
I Am LegendÂ ,new york city|pandemic|post apocalypse|survivalist|virus,Francis Lawrence,"Alice Braga,Will Smith,Willow Smith",2007,7.2
Charlie and the Chocolate FactoryÂ ,chocolate|diminution|miniaturization|physical flexability|ticket,Tim Burton,"Christopher Lee,Johnny Depp,David Kelly",2005,6.7
RatatouilleÂ ,chef|food|french|rat|restaurant,Brad Bird,"John Ratzenberger,Janeane Garofalo,Brian Dennehy",2007,8
Batman BeginsÂ ,armored car|gangster|gotham|mixed martial arts|social decay,Christopher Nolan,"Liam Neeson,Christian Bale,Morgan Freeman",2005,8.3
Madagascar: Escape 2 AfricaÂ ,africa|madagascar|new york city|sequel|zoo,Eric Darnell,"Jada Pinkett Smith,Bernie Mac,Cedric the Entertainer",2008,6.7
Night at the Museum: Battle of the SmithsonianÂ ,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,Shawn Levy,"Rami Malek,Robin Williams,Steve Coogan",2009,5.9
X-Men Origins: WolverineÂ ,army|civil war|claw fight|commando|wolverine the character,Gavin Hood,"Ryan Reynolds,Hugh Jackman,Dominic Monaghan",2009,6.7
The Matrix RevolutionsÂ ,battle|epic|fight|future|machine,Lana Wachowski,"Collin Chou,Essie Davis,Nona Gaye",2003,6.7
FrozenÂ ,magic|sister love|sister sister relationship|snow|snowman,Chris Buck,"Maurice LaMarche,Josh Gad,Livvy Stubenrauch",2013,7.6
The Matrix ReloadedÂ ,car motorcycle chase|one against many|oracle|prophecy|stylized violence,Lana Wachowski,"Daniel Bernhardt,Steve Bastoni,Helmut Bakaitis",2003,7.2
Thor: The Dark WorldÂ ,arrest|portal|thor|warrior|weapon,Alan Taylor,"Natalie Portman,Chris Hemsworth,Anthony Hopkins",2013,7.1
Mad Max: Fury RoadÂ ,australia|desert|escape|on the run|post apocalypse,George Miller,"Charlize Theron,Tom Hardy,ZoÃ« Kravitz",2015,8.1
Angels & DemonsÂ ,conclave|illuminati|murder|reference to bernini|reference to raphael,Ron Howard,"Ayelet Zurer,Tom Hanks,Armin Mueller-Stahl",2009,6.7
ThorÂ ,battle|marvel cinematic universe|scientist|thor|throne,Kenneth Branagh,"Natalie Portman,Chris Hemsworth,Anthony Hopkins",2011,7
BoltÂ ,cat|dog|hamster|new york city|superpower,Byron Howard,"Diedrich Bader,ChloÃ« Grace Moretz,James Lipton",2008,6.9
G-ForceÂ ,fbi director|guinea pig|household appliance|secret agent|talking mouse,Hoyt Yeatman,"Piper Mackenzie Harris,Kelli Garner,Niecy Nash",2009,5.1
Wrath of the TitansÂ ,ares|hades|titan|underworld|zeus,Jonathan Liebesman,"Edgar RamÃ­rez,Liam Neeson,Lily James",2012,5.8
Dark ShadowsÂ ,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,Tim Burton,"ChloÃ« Grace Moretz,Johnny Depp,Christopher Lee",2012,6.2
Mission: Impossible - Rogue NationÂ ,capture|computer hacker|mission|rogue agent|spy,Christopher McQuarrie,"Jeremy Renner,Tom Cruise,Sean Harris",2015,7.4
The WolfmanÂ ,asylum|death|full moon|transformation|werewolf,Joe Johnston,"Simon Merrells,Anthony Hopkins,Art Malik",2010,5.8
The Legend of TarzanÂ ,africa|capture|jungle|male objectification|tarzan,David Yates,"Alexander SkarsgÃ¥rd,Christoph Waltz,Casper Crump",2016,6.6
Bee MovieÂ ,bee|dream sequence|egg|scatological humor|squashed bug,Steve Hickner,"Oprah Winfrey,Matthew Broderick,Rip Torn",2007,6.2
Kung Fu Panda 2Â ,china|kung fu|panda|peacock|tigress,Jennifer Yuh Nelson,"Gary Oldman,Angelina Jolie Pitt,Mike Bell",2011,7.3
The Last AirbenderÂ ,avatar|fire|kingdom|tribe|water,M. Night Shyamalan,"Noah Ringer,Seychelle Gabriel,Aasif Mandvi",2010,4.2
Mission: Impossible IIIÂ ,arms dealer|fictional government agency|mission|rescue|vatican,J.J. Abrams,"Tom Cruise,Philip Seymour Hoffman,Eddie Marsan",2006,6.9
White House DownÂ ,black u.s. president|president|secret service|tour|white house,Roland Emmerich,"Jake Weber,Channing Tatum,Matt Craven",2013,6.4
Mars Needs MomsÂ ,boy|martian|rescue|robot|sexism,Simon Wells,"Dan Fogler,Elisabeth Harnois,Tom Everett Scott",2011,5.4
Flushed AwayÂ ,boat|frog|rat|sewer|toad,David Bowers,"Kate Winslet,Hugh Jackman,David Suchet",2006,6.7
PanÂ ,1940s|child hero|fantasy world|orphan|reference to peter pan,Joe Wright,"Cara Delevingne,Hugh Jackman,Nonso Anozie",2015,5.8
Mr. Peabody & ShermanÂ ,dog|father son relationship|inventor|talking dog|time travel,Rob Minkoff,"Zach Callison,Ty Burrell,Karan Brar",2014,6.9
TroyÂ ,greek|mythology|prince|trojan|troy,Wolfgang Petersen,"Orlando Bloom,Brad Pitt,Julian Glover",2004,7.2
Madagascar 3: Europe's Most WantedÂ ,animal|circus|island name in title|lemur|penguin,Eric Darnell,"Martin Short,Jada Pinkett Smith,Cedric the Entertainer",2012,6.9
Die Another DayÂ ,catfight|clinic|colonel|diamond|patricide,Lee Tamahori,"Colin Salmon,Toby Stephens,Rick Yune",2002,6.1
GhostbustersÂ ,ghost|ghostbuster|ghostbusters|male objectification|reboot,Paul Feig,"Kate McKinnon,Ed Begley Jr.,Zach Woods",2016,5.5
ArmageddonÂ ,asteroid|astronaut|bomb|meteorite|outer space,Michael Bay,"Steve Buscemi,Bruce Willis,Will Patton",1998,6.6
Men in Black IIÂ ,alien|lingerie|lingerie model|m.i.b.|pug,Barry Sonnenfeld,"Rosario Dawson,Will Smith,Rip Torn",2002,6.1
BeowulfÂ ,creature|demon|king|reward|warrior,Robert Zemeckis,"Anthony Hopkins,Robin Wright,Sebastian RochÃ©",2007,6.3
Kung Fu Panda 3Â ,china|kung fu|panda|pig|village,Alessandro Carloni,"Angelina Jolie Pitt,J.K. Simmons,Wayne Knight",2016,7.2
Mission: Impossible - Ghost ProtocolÂ ,dubai|kremlin|race against time|russian|terrorist,Brad Bird,"Jeremy Renner,Tom Cruise,Michael Nyqvist",2011,7.4
Rise of the GuardiansÂ ,belief|box office hit|children|new york city|tooth,Peter Ramsey,"Kamil McFadden,Hugh Jackman,Khamani Griffin",2012,7.3
Fun with Dick and JaneÂ ,animal abuse|ceo|heist|suburb|unemployment,Dean Parisot,"Richard Burgi,John Michael Higgins,David Herman",2005,6.1
The Last SamuraiÂ ,captain|emperor|honor|japan|samurai,Edward Zwick,"Tony Goldwyn,Tom Cruise,Chad Lindberg",2003,7.7
Exodus: Gods and KingsÂ ,egypt|exodus|moses|pharaoh|plague,Ridley Scott,"MarÃ­a Valverde,Christian Bale,Ben Mendelsohn",2014,6.1
Star TrekÂ ,box office hit|future|lifted by the throat|star trek|vulcan,J.J. Abrams,"Leonard Nimoy,Chris Hemsworth,Bruce Greenwood",2009,8
Spider-ManÂ ,evil|goblin|spider|spider man|superhero,Sam Raimi,"James Franco,J.K. Simmons,Kirsten Dunst",2002,7.3
How to Train Your Dragon 2Â ,dragon|father son relationship|husband wife relationship|mother son relationship|viking,Dean DeBlois,"Djimon Hounsou,Gerard Butler,America Ferrera",2014,7.9
Gods of EgyptÂ ,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,Alex Proyas,"Elodie Yung,Gerard Butler,Bryan Brown",2016,5.5
StealthÂ ,artificial intelligence|box office flop|fighter jet|navy|pilot,Rob Cohen,"Joe Morton,Sam Shepard,Richard Roxburgh",2005,5
WatchmenÂ ,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,Zack Snyder,"Billy Crudup,Matt Frewer,Stephen McHattie",2009,7.7
Lethal Weapon 4Â ,kung fu|lapd|martial arts|private investigator|triad,Richard Donner,"Rene Russo,Jet Li,Darlene Love",1998,6.6
HulkÂ ,1980s|c 130 hercules|monster|panzer|san francisco california,Ang Lee,"Regi Davis,Kevin Rankin,Celia Weston",2003,5.7
G.I. Joe: RetaliationÂ ,general|gi joe|martial arts|ninja|president,Jon M. Chu,"Dwayne Johnson,Channing Tatum,Elodie Yung",2013,5.8
SaharaÂ ,beach|civil war|desert|dictator|ship,Breck Eisner,"Rainn Wilson,Matthew McConaughey,Delroy Lindo",2005,6
Final Fantasy: The Spirits WithinÂ ,general|military|scientist|soldier|year 2065,Hironobu Sakaguchi,"Ming-Na Wen,Steve Buscemi,Jean Simmons",2001,6.4
Captain America: The First AvengerÂ ,arctic|captain america|scientist|tesseract|war bond,Joe Johnston,"Dominic Cooper,Chris Evans,Hayley Atwell",2011,6.9
The World Is Not EnoughÂ ,british|oil|scientist|terrorist|tycoon,Michael Apted,"Maria Grazia Cucinotta,Colin Salmon,Desmond Llewelyn",1999,6.4
Master and Commander: The Far Side of the WorldÂ ,1800s|napoleonic wars|pursuit|royal navy|ship,Peter Weir,"Lee Ingleby,James D'Arcy,David Threlfall",2003,7.4
The Twilight Saga: Breaking Dawn - Part 2Â ,battle|friend|super strength|vampire|vision,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",2012,5.5
Happy Feet 2Â ,3d|antarctica|krill|penguin|sequel,George Miller,"Brad Pitt,Robin Williams,Common",2011,5.9
The Incredible HulkÂ ,antidote|cure|hulk|marvel cinematic universe|opening action scene,Louis Leterrier,"Peter Mensah,Ty Burrell,William Hurt",2008,6.8
Miami ViceÂ             ,cult tv|detective|drugs|police|undercover,,"Philip Michael Thomas,Don Johnson,John Diehl",,7.5
